"REARE_FCLT_NO","FCLT_TYPE","REARE_NM","DADDR","UTZTN_PSBLTY_TNOP","MDFCN_HR","RMRK","RONA_DADDR","WKDY_OPER_BGNG_HR","WKDY_OPER_END_HR","LOT","LAT","SNDY_OPER_BGNG_HR","SNDY_OPER_END_HR","STDY_OPER_BGNG_HR","STDY_OPER_END_HR","LHLDY_OPER_BGNG_HR","LHLDY_OPER_END_HR","FCLTY_SCLAS","YR","INPT_HR","MDFCN_HR"
"쉼터시설번호","시설유형 중분류","쉼터명칭","상세주소","이용가능인원","수정시간","비고","도로명상세주소","평일운영시작시간","평일운영종료시간","경도","위도","일요일운영시작시간","일요일운영종료시간","토요일운영시작시간","토요일운영종료시간","공휴일운영시작시간","공휴일운영종료시간","시설유형 소분류","연도","입력시간","수정시간"
"4413100485","003","도장1리경로당","328-9","15","2026-02-03 17:52:57.000","","충청남도 천안시 동남구 목천읍 도전마을길 3 ","","","127.1749937","36.7479914","","","","","","","001","2026","2026-02-03 17:52:57.000","2026-02-03 17:52:57.000"
"1114000093","004","우리은행서울역금융센터","84-11","30","2026-02-04 17:44:43.000","","서울특별시 중구 통일로 10 (연세대학교세브란스빌딩)","0900","1600","126.973691","37.557111","","","","","","","001","2026","2026-02-04 17:44:43.000","2026-02-04 17:44:43.000"
"1114000101","004","우리은행광희동금융센터","216","30","2026-02-04 18:07:02.000","","서울특별시 중구 퇴계로 307 (광희빌딩)","0900","1600","127.005734","37.564303","","","","","","","001","2026","2026-02-04 18:07:02.000","2026-02-04 18:07:02.000"
"3017000341","004","KT_(주)아이피피_시청점","1452","10","2026-06-25 20:39:48.000","","대전광역시 서구 둔산로 134 (아베스빌딩)","1000","2000","127.388628","36.35098","","","","","","","002","2026","2026-03-09 17:38:49.000","2026-06-25 20:39:48.000"
"1114000104","004","우리은행중부금융센터","24-1","30","2026-02-04 20:06:05.000","","서울특별시 중구 수표로 34 (씨티센터타워)","0900","1600","126.990356","37.564471","","","","","","","001","2026","2026-02-04 20:06:05.000","2026-02-04 20:06:05.000"
"1100000007","001","강북노동자복지관","711","","2026-04-30 14:02:17.000","","서울특별시 마포구 환일길 13 (강북노동자복지관)","0800","2100","126.960159","37.556699","","","","","","","002","2026","2026-04-06 09:57:00.000","2026-04-30 14:02:17.000"
"3017000348","004","KT_하늘이동통신_정림점","553","4","2026-04-24 07:48:11.000","","대전광역시 서구 정림로65번길 6","1000","2000","127.364743","36.30635","","","","","","","002","2026","2026-03-09 18:38:17.000","2026-04-24 07:48:11.000"
"3017000342","004","KT_(주)아이피피_월평2호점","264","4","2026-04-24 17:30:17.000","","대전광역시 서구 청사서로 44","1000","2000","127.376924","36.361777","","","","","","","002","2026","2026-03-09 18:04:57.000","2026-04-24 17:30:17.000"
"4161000302","003","관음2리(풍경마을)경로당","208-4","30","2026-02-13 13:47:00.000","","경기도 광주시 퇴촌면 천진암로 727-34","","","127.343491","37.453975","","","","","","","001","2026","2026-02-13 13:40:14.000","2026-02-13 13:47:00.000"
"4137000137","001","스마트쉘터(세마역)","599-1","","2026-06-04 13:09:13.000","정류장명칭 : 세마역
정류장번호 : 24314","경기도 오산시 세교동 599-1","1000","2200","127.04234","37.186969","","","","","","","003","2026","2026-04-08 17:55:43.000","2026-06-04 13:09:13.000"
"2824546729","001","효성도서관","680","8","2026-04-10 10:33:06.000","월요일 및 법정공휴일 휴관, 1층 휴게실 쉼터로 사용","인천광역시 계양구 봉오대로600번길 14 (효성도서관)","0600","2200","126.715036","37.529137","","","","","","","002","2026","2026-02-23 14:21:44.000","2026-04-10 10:33:06.000"
"31140164","004","BNK경남은행문수로지점","1404-3","20","2026-07-07 14:05:32.000","","울산광역시 남구 문수로 377 (대공원센트럴하임더시티)","0900","1600","129.294804","35.534675","","","","","","","001","2026","2021-03-12 20:11:53.000","2026-07-07 14:05:32.000"
"4119000634","003","오정(남)경로당","554-6","24","2026-01-12 10:26:15.000","","경기도 부천시 오정구 오정로244번길 19 (오정동)","","","126.7867166","37.5287639","","","","","","","001","2026","2023-02-12 17:40:43.000","2026-01-12 10:26:15.000"
