"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"5221000364","2026","5221058000","003","우독경로당","648-3","73.26","10","","","","2026-04-10 14:42:43.000","2026-04-27 13:26:27.000","","전북특별자치도 김제시 복죽3길 22-25","","","N","","","126.842882","35.802932","","","","","","001"
"2626000113","2026","2626074000","001","동래구장애인복지관(4층휴게실)","436-18","76.84","25","1","2","","2026-04-14 09:11:30.000","2026-07-05 13:33:29.000","","부산광역시 동래구 충렬대로 386 (동래구장애인복지관)","","","","","","129.100417","35.196931","","0900","1800","","","002"
"5111000306","2026","5111061000","004","GS25편의점춘천제일","486-10","127","5","","1","N","2026-03-18 17:25:59.000","2026-05-04 16:47:54.000","","강원특별자치도 춘천시 서부대성로239번길 33","N","","N","","","127.746355","37.875255","","0000","2400","","","002"
"5221000502","2026","5221042000","001","금구면행정복지센터","216-0","","","1","1","","2026-04-15 10:26:20.000","2026-07-12 13:50:37.000","","전북특별자치도 김제시 금구면 봉두로 105  ","","","N","","","127.0122716","35.7767916","","0900","1800","","","001"
"3023000194","2026","3023054300","004","m&s송촌직영점","459-5","99","10","","1","","2026-04-15 16:44:49.000","2026-06-29 15:03:31.000","","대전광역시 대덕구 계족산로81번길 60 (에스파스빌딩)","","","","","","127.438829","36.365521","","1000","2000","","","002"
"2772001162","2026","2772025000","001","군위보건경로당","423-11","150","25","2","1","N","2026-04-17 15:19:03.000","2026-08-07 14:19:47.000","","대구광역시 군위군 군위읍 중앙5길 12 (군위군보훈회관)","N","","N","","","128.566596","36.23886","","0900","1800","","","002"
"5221000631","2026","5221035000","003","창산경로당","384-5","86","24","1","1","","2026-05-14 22:59:16.000","2026-06-28 22:37:08.000","","전북특별자치도 김제시 백구면 창산길 10","","","N","","","126.994577","35.875539","","","","","","001"
"4161000323","2026","4161052000","001","광주시평생학습관","710","4303","50","0","6","N","2026-05-20 17:13:57.000","2026-07-12 15:13:54.000","","경기도 광주시 광주대로 116","N","","N","","","127.260631","37.418898","","0900","1800","","","002"
"1121500182","2026","1121571000","003","화양현대아파트경로당","234","64","21","2","2","","2026-05-26 17:09:24.000","2026-07-10 18:24:51.000","","서울특별시 광진구 동일로24길 5 (화양동현대아파트103동)","","","","","","127.065845","37.544507","","","","","","001"
"4673000240","2026","1273036000","003","사우여성경로당","404-2","42.12","34","2","1","","2026-05-29 10:44:02.000","2026-05-29 10:44:02.000","","전남광주통합특별시 구례군 용방면 사우길 51","","","","","","127.444722","35.230656","","","","","","001"
"4673000257","2026","1273025000","003","봉남경로당","196","93.03","38","2","1","","2026-05-29 14:31:34.000","2026-05-29 14:31:34.000","","전남광주통합특별시 구례군 구례읍 봉남길 10-1","","","","","","127.465583","35.207492","","","","","","001"
"4673000264","2026","1273032000","003","효죽여성경로당","813-8","62.28","19","2","1","","2026-05-29 15:20:16.000","2026-05-29 15:20:16.000","","전남광주통합특별시 구례군 간전면 간전중앙로 597","","","","","","127.540719","35.13993","","","","","","001"
"4673000271","2026","1273034000","003","마산중앙경로당","546-1","75","14","2","1","","2026-05-29 15:42:39.000","2026-05-29 15:42:39.000","","전남광주통합특별시 구례군 마산면 화엄사로 159-12 (마산중앙경로당)","","","","","","127.48659","35.224219","","","","","","001"
"4673000272","2026","1273035000","003","공북남성경로당","560","88","22","2","1","","2026-05-29 15:45:08.000","2026-05-29 15:45:08.000","","전남광주통합특별시 구례군 광의면 쌍샘이길 22 (공북마을회관)","","","","","","127.444701","35.260394","","","","","","001"
"4136000659","2026","4136057000","004","NH농협은행별내행정복지센터출장소","1028","","10","","","N","2026-05-29 16:08:50.000","2026-07-14 21:06:55.000","","경기도 남양주시 별내3로 64-21 (별내동주민센터)","N","","N","","","127.12215","37.64603","","0900","1600","","","001"
"2641000083","2026","2641052000","003","성지아파트경로당","622","41.6","5","1","1","","2026-04-17 11:07:14.000","2026-07-23 14:17:41.000","","부산광역시 금정구 명서로 94 (성지아파트)","","","N","","","129.099425","35.213042","","","","","","001"
"48850301","2026","4885025000","003","비파경로당","742-1","72","18","3","1","","2021-03-08 09:20:46.000","2026-08-10 10:49:47.000","","경상남도 하동군 하동읍 군청로 82-6","","5440176","N","","","127.7561147","35.0627831","","","","1000","2200","001"
"48850302","2026","4885025000","003","화산경로당","378-5","72","18","2","1","","2021-03-08 09:20:46.000","2026-08-10 10:49:47.000","","경상남도 하동군 하동읍 소재2길 3-3","","5440176","N","","","127.7573978","35.072108","","","","1000","2200","001"
"41500013","2026","4150025000","003","와현1리경로당","230-2","132","33","0","1","","2021-04-20 15:08:49.000","2025-07-18 22:45:26.000","","경기도 이천시 장호원읍 이풍로 253-21 ","","4070000","N","","","127.6002292","37.1609792","","","","1000","1700","001"
"46810006","2026","1278025000","003","고내경로당","389-2","73","18","1","1","","2021-03-10 10:43:16.000","2025-11-07 17:35:56.000","","전남광주통합특별시 강진군 강진읍동문길 15","","4920131","N","","","126.7706452","34.642263","","","","1000","2200","001"
"4213000303","2026","5113059000","003","봉화산벨라시티2차아파트경로당","1218-0","157.68","25","2","1","","2021-06-03 12:03:51.000","2026-07-21 11:17:18.000","","강원특별자치도 원주시 백간길 17-14","","4191093","N","","","127.9256051","37.3524109","","","","0900","1800","001"
"47730384","2026","4773043000","003","토매1리경로당","212-1","77.4","10","3","1","","2021-04-09 08:51:07.000","2026-05-06 10:39:02.000","","경상북도 의성군 안계면 토매1길 120 ","","5150159","N","","","128.4437115","36.3784931","","","","0900","1800","001"
"41670299","2026","4167053000","003","(오학동)오학1통경로당","134-10","150.48","37","1","1","","2021-03-11 16:11:16.000","2026-08-12 14:58:28.000","","경기도 여주시 오학동 오학길  18   (오학동)","","5700107","N","","","127.6498813","37.3146111","","","","","","001"
"46890066","2026","1285037000","003","삼산리경로당","696-4","51","12","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면 삼산길 94-1 ","","4990296","Y","","","127.0484412","34.4378851","","","","0800","1800","001"
"46890067","2026","1285037000","003","신흥리경로당","912-0","44","11","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면신흥원동길 5","","4990296","Y","","","127.049456","34.4218376","","","","0800","1800","001"
"46890068","2026","1285037000","003","가학리복지회관","281","66","16","2","1","","2021-03-16 21:33:34.000","2026-08-27 09:10:43.000","","전남광주통합특별시 완도군 금당면 금당해변로 139","","4990296","Y","","","127.034505","34.449583","","","","0800","1800","001"
"41670112","2026","4167033000","003","전북리경로당","전북리 275-2","292","73","2","1","","2021-03-11 16:11:16.000","2026-08-12 14:58:26.000","","경기도 여주시 금사면 전북1길  4-5","","5700107","N","","","127.512083","37.4332777","","","","","","001"
"46710108","2026","1271032000","003","해평경로당","348-29","84","18","2","1","","2021-03-18 18:02:48.000","2025-11-17 16:03:36.000","","전남광주통합특별시 담양군 고서면 해평길 29-8 ","","4850174","N","951615.712407","1691871.419152","126.9683397","35.2210487","","","","1200","1800","001"
